rank,zip_code,City,CountyName,investment_score,renter_pct,vacancy_rate,multifamily_share,median_contract_rent,median_household_income,rent_to_income_ratio,rent_burden_rate,price_latest,price_chg_1yr_pct,price_chg_3yr_pct,price_cut_rate,inv_chg_6m_pct,rent_control
1,94117,San Francisco,San Francisco County,82.62773722627738,0.7374425336284692,0.1222543844713093,0.6798664846002124,2616.0,190444.0,0.1648358572598769,0.1025937043023166,1589530.570367771,8.128368489793726,6.255977620403974,0.0,-31.57894736842105,Strong (pre-1979)
2,94129,San Francisco,San Francisco County,79.13321167883213,1.0,0.0465815176558978,0.4278535534816942,3501.0,236445.0,0.177681913341369,0.1848234410217881,1590885.2302449662,11.243781228090377,-14.042881013257357,,,Strong (pre-1979)
3,94123,San Francisco,San Francisco County,77.28102189781023,0.7153628652214892,0.1661168708765315,0.6633663366336634,3040.0,211854.0,0.1721940581721374,0.0960693895476504,2351631.7687361683,9.85658508863545,10.060890606652006,0.0277777777777777,19.999999999999996,Strong (pre-1979)
4,94115,San Francisco,San Francisco County,76.98905109489051,0.7442193941566589,0.1649638525422716,0.5837521797107396,2310.0,149927.0,0.1848899797901645,0.1320648683365446,1460368.5188586991,7.898824952370287,5.915385528078421,0.06,-10.71428571428571,Strong (pre-1979)
5,94118,San Francisco,San Francisco County,76.13138686131387,0.6417216203485634,0.115049458313707,0.500105607772732,2440.0,157143.0,0.1863271033389969,0.152766308835673,2097676.826511113,7.569394653793915,3.8045249940550585,0.0588235294117647,-17.07317073170732,Strong (pre-1979)
6,94110,San Francisco,San Francisco County,75.32846715328468,0.592799412196914,0.1232549595885378,0.4857563368765331,2252.0,152115.0,0.1776550636031949,0.1590233019335647,1349590.8425150728,6.911911381457347,4.517125978512726,0.0833333333333333,-16.000000000000004,Strong (pre-1979)
7,94114,San Francisco,San Francisco County,75.07299270072993,0.5496282308509383,0.0929422872654313,0.5143890718643702,2522.0,184671.0,0.1638806309599233,0.1660940519647842,1911560.9726896803,10.92828155348393,10.22121947193173,0.0898876404494382,28.985507246376805,Strong (pre-1979)
8,94131,San Francisco,San Francisco County,73.7956204379562,0.4448184659773984,0.1014666987256552,0.3411918795022921,2742.0,196571.0,0.1673898998326304,0.1185585585585585,1675511.8294751726,9.245261832096752,9.016596066433745,0.16,-35.064935064935064,Strong (pre-1979)
9,94121,San Francisco,San Francisco County,73.22080291970804,0.5635756056808688,0.0919521024784182,0.4280832398245435,2057.0,132519.0,0.1862676295474611,0.1713608064037948,1738109.48948905,6.80514402688035,8.247053494767108,0.0285714285714285,2.941176470588225,Strong (pre-1979)
10,94122,San Francisco,San Francisco County,70.87591240875912,0.5010258697591436,0.0718108831400535,0.3148148148148148,2555.0,141760.0,0.2162810383747178,0.1792931540995281,1634385.5314262602,5.594324970939812,8.318086381256439,0.0,-19.565217391304344,Strong (pre-1979)
11,94010,Hillsborough,San Mateo County,70.16423357664236,0.3808960796515245,0.0863098942128189,0.285386950793378,2460.0,186198.0,0.1585409080656075,0.1699068779611174,3465868.7884344608,5.911229446679522,12.119836269809436,0.1147540983606557,-16.43835616438356,None / Costa-Hawkins only
12,94618,Oakland,Alameda County,69.34306569343066,0.3537799300511164,0.0594565509819747,0.2221940071102082,2539.0,202297.0,0.1506102413777762,0.1068441064638783,1631257.189658244,-0.409255090501337,-8.157422477683763,0.1290322580645161,-38.0,Strong (pre-1983)
13,94086,Sunnyvale,Santa Clara County,68.48540145985402,0.6980316134804653,0.049458196639825,0.3983801449344006,2713.0,171265.0,0.1900913788573263,0.140639464501887,1959743.1946456935,-0.9405816980789572,14.364222890041066,0.2,102.70270270270272,None / Costa-Hawkins only
14,94706,Albany,Alameda County,68.23905109489051,0.4903170099913654,0.0527938818305168,0.3135325131810193,2214.0,125410.0,0.2118491348377322,0.2231446540880503,1271479.3010557566,0.6648406310823196,4.218221983894299,0.0666666666666666,-11.764705882352944,None / Costa-Hawkins only
15,94087,Sunnyvale,Santa Clara County,68.21167883211679,0.4325889164598842,0.0455894516615579,0.2397394136807817,2907.0,196611.0,0.1774264919053359,0.159262175233382,2898234.5551654864,1.014292588017418,22.298227365646504,0.1486486486486486,72.09302325581395,None / Costa-Hawkins only
16,94597,Walnut Creek,Contra Costa County,68.13868613138685,0.5182864091291741,0.0330184267140585,0.258783049619703,2426.0,135960.0,0.2141218005295675,0.2095289658906334,1001598.1603772218,-1.490928247236778,3.3144616572240215,0.1475409836065573,-19.736842105263154,None / Costa-Hawkins only
17,94041,Mountain View,Santa Clara County,67.81934306569342,0.6808411937528993,0.122158651615896,0.3880391346286344,2647.0,169479.0,0.1874214504451879,0.1875993640699523,2278177.9050852885,3.6091537132224127,13.860167915685317,,,Moderate
18,94070,San Carlos,San Mateo County,67.60948905109488,0.2987873054098219,0.055216306871936,0.237020132040101,2660.0,220323.0,0.1448782015495431,0.1917098445595854,2474297.5450976123,3.0826886268917386,15.159845816526985,0.1076923076923077,-19.753086419753085,None / Costa-Hawkins only
19,94596,Walnut Creek,Contra Costa County,67.2080291970803,0.5493574222387781,0.0415347364499906,0.2784334763948498,2334.0,135422.0,0.2068201621597672,0.1796914731310391,1103526.6336000788,-0.445920270000022,3.6892566984347397,0.1780821917808219,-1.3513513513513487,None / Costa-Hawkins only
20,94611,Piedmont,Alameda County,67.20802919708028,0.3911207423459465,0.0550091681946991,0.2674461473639858,2037.0,163837.0,0.1491970678174038,0.2142349765591703,1405057.83940091,-2.4479933655904063,-8.730652629648795,0.102803738317757,-15.07936507936508,None / Costa-Hawkins only
21,94133,San Francisco,San Francisco County,67.18978102189782,0.8245114633020465,0.1964917679643022,0.6390174897119342,1479.0,77652.0,0.2285581826611034,0.2104133619483064,1370623.5052949584,8.413048568326808,5.536803103070764,0.1176470588235294,-8.108108108108103,Strong (pre-1979)
22,94111,San Francisco,San Francisco County,67.04379562043795,0.7865903515944399,0.1672117743254292,0.1509632224168126,2441.0,164107.0,0.1784933001029816,0.1294178794178794,1088104.8894306663,2.8649577505599044,2.4277593329329994,,-37.5,Strong (pre-1979)
23,94705,Berkeley,Alameda County,66.95255474452554,0.420160876262194,0.0905356837241143,0.3005335844318895,2138.0,157221.0,0.1631843074398458,0.170264765784114,2007477.9517540336,-0.2986044611749561,-2.187636466256715,0.037037037037037,35.00000000000001,Strong (pre-1980)
24,94925,Corte Madera,Marin County,66.55109489051094,0.3047477007208551,0.01988565746955,0.172312941749939,3182.0,210560.0,0.1813449848024316,0.1288743882544861,1860608.3803057931,4.71619191548982,9.388997122145426,0.1538461538461538,4.0000000000000036,None / Costa-Hawkins only
25,94301,Palo Alto,Santa Clara County,66.55109489051094,0.4489481065918653,0.155680224403927,0.2438106796116504,2723.0,217611.0,0.1501578504763086,0.1674476726023117,4362311.094087103,4.1962896511339665,12.43158152682311,0.1463414634146341,2.499999999999991,None / Costa-Hawkins only
26,94109,San Francisco,San Francisco County,66.0036496350365,0.835777216437681,0.2012814983673218,0.617986460149759,2096.0,108691.0,0.231408304275423,0.2023515535734031,1022825.9089339498,3.469005097614364,-0.7315346235826525,0.1217391304347826,-7.258064516129037,Strong (pre-1979)
27,94306,Palo Alto,Santa Clara County,65.7846715328467,0.4487968662562954,0.1076291736616302,0.296985517009094,2818.0,199800.0,0.1692492492492492,0.2107231920199501,3450948.85921043,2.3446952191709336,18.05162231286026,0.0666666666666666,32.35294117647059,None / Costa-Hawkins only
28,94025,Menlo Park,San Mateo County,65.74817518248176,0.3989825074918113,0.1309498919785351,0.2367512940596499,2808.0,207656.0,0.1622683669145124,0.1685589519650655,2902646.8285920895,5.224448236913215,14.55639439287899,0.0985915492957746,-2.73972602739726,None / Costa-Hawkins only
29,95130,San Jose,Santa Clara County,65.70255474452554,0.3922724296005239,0.0580659244706396,0.2589230451825872,2088.0,169199.0,0.1480859815956359,0.2003338898163606,2207725.849912385,0.8389168822548587,26.92395418691509,,,"Moderate (pre-1979, 2+ units)"
30,94610,Oakland,Alameda County,65.56569343065695,0.636105143434854,0.1072917983065841,0.5894772882903446,2082.0,128304.0,0.1947250280583614,0.1901261547630873,1206898.3674124386,-3.090176090834973,-12.126044688527472,0.140625,-9.859154929577462,Strong (pre-1983)
31,94040,Mountain View,Santa Clara County,64.96350364963503,0.6250663834306956,0.1034917684545937,0.3694279011008843,2771.0,175147.0,0.1898519529309665,0.2122982158028887,2914658.4709702465,2.998279638021839,20.502409814855426,0.175438596491228,89.99999999999999,Moderate
32,94108,San Francisco,San Francisco County,64.47992700729927,0.8989665278420484,0.2289063705074811,0.6789255679678674,1410.0,68768.0,0.2460446719404374,0.1854838709677419,1007904.1826956188,5.21107798700946,-1.6584602803910276,0.0434782608695652,43.75,Strong (pre-1979)
33,95129,San Jose,Santa Clara County,64.34306569343066,0.4097952800682399,0.0673869775376741,0.2722429408630794,2625.0,178818.0,0.1761567627420058,0.1741543798785776,2721587.6711329515,1.5284165396100446,27.140792342518694,0.1632653061224489,44.11764705882353,"Moderate (pre-1979, 2+ units)"
34,94002,Belmont,San Mateo County,63.57664233576643,0.433572876358946,0.0667956513727658,0.2857759737455739,2701.0,184929.0,0.175267264734033,0.2299192520186995,2364910.8397170436,2.337159190560012,14.65357622620036,0.1636363636363636,71.875,None / Costa-Hawkins only
35,94043,Mountain View,Santa Clara County,63.394160583941606,0.5550901338918394,0.1033734759518288,0.3470273201816826,2674.0,174416.0,0.1839739473442803,0.1305753941517315,1599616.0086669724,-2.8937810727990176,5.658189995080565,0.1764705882352941,18.055555555555557,Moderate
36,94104,San Francisco,San Francisco County,63.18430656934307,0.7634408602150538,0.1111111111111111,0.267741935483871,737.0,47386.0,0.1866374034524965,0.1549295774647887,1111931.8827545955,-2.899325208334691,-5.000146732698763,,,Strong (pre-1979)
37,94102,San Francisco,San Francisco County,63.05656934306569,0.9117755241448164,0.1802847984866796,0.4101148606535482,1465.0,62388.0,0.2817849586458934,0.1812471184877823,733210.2516761351,1.0123390705800484,-4.165627108211256,0.1,-11.764705882352944,Strong (pre-1979)
